[2026-04-27 11:24:33] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-04-27 11:25:31] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-04-27 11:25:31] INFO     TS.tickets:160 | Comment added | ticket_id=1
[2026-04-27 11:25:31] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-04-27 11:30:48] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-04-27 13:19:39] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-04-27 13:19:43] DEBUG    TS.tickets:135 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-04-27 13:19:49] DEBUG    TS.tickets:135 | Ticket detail viewed | id=3 title='Internet not working'
[2026-04-27 13:19:59] DEBUG    TS.tickets:135 | Ticket detail viewed | id=5 title='Forgot password'
[2026-04-28 11:07:06] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-04-28 12:19:29] DEBUG    TS.tickets:135 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-04-28 12:19:37] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-05-01 09:40:33] DEBUG    TS.tickets:135 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-05-01 09:49:15] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-05-01 09:49:56] INFO     TS.tickets:123 | Ticket created | id=11 title='test' user_id=2 priority_id=4
[2026-05-01 09:50:04] DEBUG    TS.tickets:135 | Ticket detail viewed | id=11 title='test'
[2026-05-01 09:50:07] INFO     TS.tickets:195 | Ticket deleted | id=11 title='test' user_id=2
[2026-05-01 10:04:56] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-05-01 10:10:20] INFO     TS.tickets:123 | Ticket created | id=12 title='test' user_id=4 priority_id=3
[2026-05-01 10:10:24] DEBUG    TS.tickets:135 | Ticket detail viewed | id=10 title='Other issue'
[2026-05-01 10:13:05] DEBUG    TS.articles:217 | Knowledge base searched | query='how' results=1
[2026-05-01 10:42:49] DEBUG    TS.tickets:135 | Ticket detail viewed | id=1 title='Cannot log into account'
[2026-05-01 10:52:09] DEBUG    TS.articles:217 | Knowledge base searched | query='fixing' results=1
[2026-05-01 10:53:18] DEBUG    TS.tickets:135 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-05-01 11:10:03] DEBUG    TS.tickets:135 | Ticket detail viewed | id=12 title='test'
[2026-05-01 11:10:09] INFO     TS.tickets:195 | Ticket deleted | id=12 title='test' user_id=4
[2026-05-01 11:10:24] INFO     TS.tickets:123 | Ticket created | id=13 title='tets' user_id=1 priority_id=4
[2026-05-01 11:42:59] DEBUG    TS.tickets:135 | Ticket detail viewed | id=13 title='tets'
[2026-05-01 11:43:01] INFO     TS.tickets:195 | Ticket deleted | id=13 title='tets' user_id=1
[2026-05-01 11:52:31] DEBUG    TS.tickets:141 | Ticket detail viewed | id=4 title='Software installation error'
[2026-05-01 11:53:48] DEBUG    TS.tickets:141 | Ticket detail viewed | id=4 title='Software installation error'
[2026-05-01 11:54:04] DEBUG    TS.tickets:141 | Ticket detail viewed | id=7 title='VPN connection drops'
[2026-05-01 11:56:19] DEBUG    TS.tickets:141 | Ticket detail viewed | id=7 title='VPN connection drops'
[2026-05-01 11:56:25] DEBUG    TS.tickets:141 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-05-01 12:01:52] DEBUG    TS.tickets:141 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-05-01 12:02:02] DEBUG    TS.tickets:141 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-05-01 12:03:14] DEBUG    TS.tickets:141 | Ticket detail viewed | id=16 title='Account locked out'
[2026-05-01 12:03:19] DEBUG    TS.tickets:141 | Ticket detail viewed | id=2 title='Computer is very slow'
[2026-05-01 12:04:21] DEBUG    TS.tickets:141 | Ticket detail viewed | id=1 title='Login not working'
